_id,count
Thanet,2260
Greenwich,1764
Maidstone,1426
Newham,1422
Swale,1372
Chelmsford,1360
Medway,1344
Bexley,1214
Southend-On-Sea,1172
Tendring,1084
Colchester,996
Tunbridge Wells,982
Folkestone and Hythe,960
Eastbourne,956
Hastings,928
Bromley,920
Ashford,854
Havering,794
Dartford,766
Braintree,764
Basildon,724
Gravesham,678
Tonbridge and Malling,650
Thurrock,626
Barking and Dagenham,602
Canterbury City,596
Brentwood,570
Castle Point,562
Harlow,548
Uttlesford,502
Lewes,500
Sevenoaks,446
Maldon,394
East Hertfordshire,378
Rochford,374
Redbridge,364
Epping Forest,360
East Suffolk,318
Waltham Forest,220
Babergh,194
Wealden,186
Rother,160
Lewisham,130
Tandridge,84
City of London Corporation,56
Ipswich,42
Tower Hamlets,18
North Hertfordshire,12
Mid Sussex,10
Kensington and Chelsea,2
Sunderland,2
North Norfolk,2
Broxbourne,2
Reading,2
Dorset,2
